名子,經緯度,平台,連結,Google Map,種類,縣市,鄉鎮區
金蓬萊遵古台菜餐廳,"25.1182996, 121.5362517",Facebook,https://www.facebook.com/reel/1633816963910356,https://maps.app.goo.gl/rxAuBGMSvDXTeNYt8,合菜,台北市,士林區
芝玫蛋糕店,"25.1075897, 121.5276666",Facebook,https://www.facebook.com/reel/1633816963910356,https://maps.app.goo.gl/bGvgW8qtzXv2Uu8i6,冰品 / 甜點,台北市,士林區
吃吃看,"25.1161151, 121.5285924",Facebook,https://www.facebook.com/reel/1633816963910356,https://maps.app.goo.gl/pn2viYnkT7dfXpMg9,冰品 / 甜點,台北市,士林區
忠誠山東蔥油餅,"25.1086609, 121.5248724",Facebook,https://www.facebook.com/reel/1633816963910356,https://maps.app.goo.gl/bntcuLdaFpXhXBsw5,小吃,台北市,士林區
小貨車蔥油餅,"25.1091053, 121.5326403",Facebook,https://www.facebook.com/reel/1633816963910356,https://maps.app.goo.gl/eNcgvZwLZW4ioLVi9,小吃,台北市,士林區
越富越南法國麵包,"25.1071756, 121.5265001",Facebook,https://www.facebook.com/reel/1633816963910356,https://maps.app.goo.gl/LUrqpo3cr9vneiYQ7,小吃,台北市,士林區
全統西點麵包(德行西路店),"25.10522623654675, 121.52251290951102",Facebook,https://www.facebook.com/reel/1633816963910356,https://maps.app.goo.gl/NMBr4VFkSoFCHgqCA,冰品 / 甜點,台北市,士林區
九樹森林二館,"23.9001743, 120.9770919",Facebook,https://www.facebook.com/reel/654848110223084,https://maps.app.goo.gl/KqgNoJDSH3o8fKu77,戶外景點,南投縣,魚池鄉
抿食屋食堂,"24.9920833, 121.9764208",Facebook,https://www.facebook.com/reel/1636567260380903,https://maps.app.goo.gl/LwX4crRU7XsoTo337,海鮮/甜點,新北市,貢寮區
無名牛排,"25.055014, 121.6160263",Facebook,https://www.facebook.com/groups/453147798182434/permalink/3002640503233138/,https://maps.app.goo.gl/JrJ8oKMRh7riQBdv9,牛排,台北市,南港區
本燔寿喜烧·涮涮鍋,"24.956522, 121.2251531",Facebook,https://www.facebook.com/reel/515616661574971,https://maps.app.goo.gl/F1aXF5mADYy1JwPAA,火鍋,桃園市,中壢區
咕咕咕嚕 日式昆布火鍋 ,"25.0515, 121.616116",Facebook,https://www.facebook.com/reel/1179757060595925,https://maps.app.goo.gl/zwcRa4wgVc4nKLjU8,火鍋,台北市,南港區
麵掌門,"24.966674493995843, 121.30023916911118",Facebook,https://www.facebook.com/reel/636482388990063,https://maps.app.goo.gl/zn361ouGNuNQvnFn8,牛肉麵/甜點,桃園市,八德區
源海南雞飯,"25.0645844, 121.5237162",Facebook,https://www.facebook.com/reel/1608054843179913,https://maps.app.goo.gl/DsHmRMPUBKrG7Mxv9,小吃,台北市,中山區
凱撒披薩,"25.1384462, 121.4874269",Facebook,https://www.facebook.com/reel/2941877942656155,https://maps.app.goo.gl/n56D6V1Ake5pic7N9,pizza,台北市,北投區
大鵬足湯公園,"25.213004, 121.648313",Facebook,https://www.facebook.com/reel/1876731936397085,https://maps.app.goo.gl/9WVauLGjzXKvarjn6,健行,新北市,萬里區
HELLO便當自助餐清粥小菜(倒閉),"24.9506958, 121.2388766",Facebook,https://www.facebook.com/reel/641606908469368,https://maps.app.goo.gl/zkyT6ZQCNqeq9RZU8,小吃,桃園市,中壢區
淡水第一家招牌羊肉焿,"25.1739616, 121.4512292",Facebook,https://www.facebook.com/reel/986067493177112,https://maps.app.goo.gl/rgexC8NQU6VcHoU59,小吃,新北市,淡水區
張媽媽香大雞排,"24.9922882, 121.5431185",Facebook,https://www.facebook.com/reel/1629045307734569,https://maps.app.goo.gl/SEJ8Ev6TZbcNN9S18,小吃,台北市,文山區
恰恰韓式豬腳,"25.0605843, 121.5435876",Facebook,https://www.facebook.com/reel/943830084529718,https://maps.app.goo.gl/rLEQGNZ8pnLkcuvw8,豬腳,台北市,中山區
葉子祕境森林系Villa,"23.95101, 120.9124951",Facebook,https://www.facebook.com/reel/558045723888280,https://maps.app.goo.gl/euGXkU3FgahLE6Cy5,戶外景點,南投縣,埔里鎮
